,Land_Use_Value,Solar_TSI,Ocean_npgo_mean,Number_of_disasters,Ocean_sla_mean,Ocean_ph,mean_global_temp,energy_production-mtoe,population,upper_ocean_mean_temp,Volcanic_ERF,Water_vapor,volcano_num_eruptions,volcano_sum_strength,volcano_mean_strength
-4360,,,,,,,,,,,,,1.0,6.0,6.0
-4350,,,,,,,,,,,,,1.0,7.0,7.0
-4050,,,,,,,,,,,,,1.0,6.0,6.0
-4000,,,,,,,,,,,,,1.0,6.0,6.0
-3580,,,,,,,,,,,,,1.0,6.0,6.0
-3550,,,,,,,,,,,,,1.0,6.0,6.0
-2420,,,,,,,,,,,,,1.0,5.0,5.0
-2040,,,,,,,,,,,,,1.0,6.0,6.0
-1900,,,,,,,,,,,,,1.0,6.0,6.0
-1890,,,,,,,,,,,,,1.0,6.0,6.0
-1860,,,,,,,,,,,,,1.0,6.0,6.0
-1750,,,,,,,,,,,,,1.0,6.0,6.0
-1645,,,,,,,,,,,,,1.0,6.0,6.0
-1610,,,,,,,,,,,,,1.0,7.0,7.0
-1550,,,,,,,,,,,,,1.0,0.0,0.0
-1460,,,,,,,,,,,,,1.0,6.0,6.0
-1370,,,,,,,,,,,,,1.0,6.0,6.0
-1050,,,,,,,,,,,,,1.0,6.0,6.0
-1010,,,,,,,,,,,,,1.0,5.0,5.0
-455,,,,,,,,,,,,,1.0,4.0,4.0
-250,,,,,,,,,,,,,1.0,6.0,6.0
-197,,,,,,,,,,,,,1.0,3.0,3.0
-150,,,,,,,,,,,,,1.0,0.0,0.0
-141,,,,,,,,,,,,,1.0,0.0,0.0
-100,,,,,,,,,,,,,1.0,6.0,6.0
-50,,,,,,,,,,,,,1.0,6.0,6.0
46,,,,,,,,,,,,,1.0,3.0,3.0
50,,,,,,,,,,,,,1.0,6.0,6.0
60,,,,,,,,,,,,,1.0,6.0,6.0
79,,,,,,,,,,,,,1.0,5.0,5.0
200,,,,,,,,,,,,,1.0,0.0,0.0
230,,,,,,,,,,,,,1.0,6.0,6.0
240,,,,,,,,,,,,,1.0,6.0,6.0
350,,,,,,,,,,,,,1.0,0.0,0.0
416,,,,,,,,,,,,,1.0,0.0,0.0
450,,,,,,,,,,,,,1.0,6.0,6.0
500,,,,,,,,,,,,,1.0,0.0,0.0
590,,,,,,,,,,,,,1.0,0.0,0.0
640,,,,,,,,,,,,,1.0,2.0,2.0
653,,,,,,,,,,,,,1.0,6.0,6.0
683,,,,,,,,,,,,,1.0,6.0,6.0
710,,,,,,,,,,,,,1.0,6.0,6.0
764,,,,,,,,,,,,,1.0,4.0,4.0
766,,,,,,,,,,,,,1.0,3.0,3.0
787,,,,,,,,,,,,,1.0,3.0,3.0
847,,,,,,,,,,,,,1.0,6.0,6.0
920,,,,,,,,,,,,,1.0,4.0,4.0
930,,,,,,,,,,,,,1.0,6.0,6.0
934,,,,,,,,,,,,,1.0,4.0,4.0
950,,,,,,,,,,,,,1.0,0.0,0.0
1000,,,,,,,,,,,,,1.0,7.0,7.0
1050,,,,,,,,,,,,,1.0,0.0,0.0
1104,,,,,,,,,,,,,1.0,5.0,5.0
1151,,,,,,,,,,,,,1.0,1.0,1.0
1158,,,,,,,,,,,,,1.0,4.0,4.0
1169,,,,,,,,,,,,,2.0,0.0,0.0
1177,,,,,,,,,,,,,1.0,3.0,3.0
1206,,,,,,,,,,,,,1.0,2.0,2.0
1250,,,,,,,,,,,,,1.0,0.0,0.0
1262,,,,,,,,,,,,,1.0,3.0,3.0
1280,,,,,,,,,,,,,1.0,6.0,6.0
1300,,,,,,,,,,,,,1.0,4.0,4.0
1302,,,,,,,,,,,,,1.0,0.0,0.0
1311,,,,,,,,,,,,,2.0,7.0,3.5
1329,,,,,,,,,,,,,2.0,4.0,2.0
1331,,,,,,,,,,,,,1.0,2.0,2.0
1334,,,,,,,,,,,,,1.0,3.0,3.0
1341,,,,,,,,,,,,,1.0,3.0,3.0
1357,,,,,,,,,,,,,1.0,4.0,4.0
1362,,,,,,,,,,,,,1.0,5.0,5.0
1375,,,,,,,,,,,,,1.0,5.0,5.0
1376,,,,,,,,,,,,,1.0,3.0,3.0
1385,,,,,,,,,,,,,1.0,3.0,3.0
1389,,,,,,,,,,,,,1.0,3.0,3.0
1410,,,,,,,,,,,,,1.0,3.0,3.0
1430,,,,,,,,,,,,,1.0,0.0,0.0
1471,,,,,,,,,,,,,1.0,5.0,5.0
1477,,,,,,,,,,,,,1.0,6.0,6.0
1485,,,,,,,,,,,,,1.0,2.0,2.0
1500,,,,,,,,,,,,,1.0,4.0,4.0
1510,,,,,,,,,,,,,2.0,8.0,4.0
1536,,,,,,,,,,,,,1.0,3.0,3.0
1538,,,,,,,,,,,,,1.0,3.0,3.0
1540,,,,,,,,,,,,,1.0,4.0,4.0
1550,,,,,,,,,,,,,1.0,3.0,3.0
1564,,,,,,,,,,,,,1.0,3.0,3.0
1565,,,,,,,,,,,,,1.0,3.0,3.0
1566,,,,,,,,,,,,,1.0,3.0,3.0
1568,,,,,,,,,,,,,1.0,3.0,3.0
1570,,,,,,,,,,,,,1.0,0.0,0.0
1576,,,,,,,,,,,,,1.0,3.0,3.0
1580,,,,,,,,,,,,,3.0,13.0,4.333333333333333
1581,,,,,,,,,,,,,1.0,4.0,4.0
1586,,,,,,,,,,,,,1.0,5.0,5.0
1587,,,,,,,,,,,,,1.0,4.0,4.0
1590,,,,,,,,,,,,,1.0,3.0,3.0
1593,,,,,,,,,,,,,1.0,5.0,5.0
1595,,,,,,,,,,,,,1.0,4.0,4.0
1596,,,,,,,,,,,,,1.0,2.0,2.0
1597,,,,,,,,,,,,,2.0,7.0,3.5
1598,,,,,,,,,,,,,2.0,5.0,2.5
1600,,,,,,,,,,,,,1.0,6.0,6.0
1606,,,,,,,,,,,,,1.0,2.0,2.0
1608,,,,,,,,,,,,,1.0,3.0,3.0
1609,,,,,,,,,,,,,1.0,0.0,0.0
1610,,1360.1856,,,,,,,,,,,,,
1611,,1360.47,,,,,,,,,,,,,
1612,,1360.6798,,,,,,,,,,,,,
1613,,1360.9569,,,,,,,,,,,,,
1614,,1361.0877,,,,,,,,,,,,,
1615,,1361.0211,,,,,,,,,,,1.0,3.0,3.0
1616,,1360.6735,,,,,,,,,,,,,
1617,,1360.3792,,,,,,,,,,,1.0,3.0,3.0
1618,,1360.2902,,,,,,,,,,,,,
1619,,1360.3277,,,,,,,,,,,,,
1620,,1360.3773,,,,,,,,,,,,,
1621,,1360.3788,,,,,,,,,,,,,
1622,,1360.3783,,,,,,,,,,,,,
1623,,1360.3801,,,,,,,,,,,,,
1624,,1360.3495,,,,,,,,,,,,,
1625,,1360.4456,,,,,,,,,,,1.0,5.0,5.0
1626,,1360.5186,,,,,,,,,,,,,
1627,,1360.4285,,,,,,,,,,,,,
1628,,1360.4122,,,,,,,,,,,,,
1629,,1360.4273,,,,,,,,,,,1.0,2.0,2.0
1630,,1360.3466,,,,,,,,,,,1.0,4.0,4.0
1631,,1360.2914,,,,,,,,,,,2.0,5.0,2.5
1632,,1360.2837,,,,,,,,,,,,,
1633,,1360.3203,,,,,,,,,,,,,
1634,,1360.3345,,,,,,,,,,,,,
1635,,1360.3001,,,,,,,,,,,,,
1636,,1360.2879,,,,,,,,,,,1.0,3.0,3.0
1637,,1360.2465,,,,,,,,,,,,,
1638,,1360.4751,,,,,,,,,,,1.0,4.0,4.0
1639,,1360.7861,,,,,,,,,,,,,
1640,,1360.6269,,,,,,,,,,,2.0,8.0,4.0
1641,,1360.3285,,,,,,,,,,,,,
1642,,1360.4316,,,,,,,,,,,,,
1643,,1360.5082,,,,,,,,,,,,,
1644,,1360.3885,,,,,,,,,,,,,
1645,,1360.3211,,,,,,,,,,,,,
1646,,1360.275,,,,,,,,,,,1.0,4.0,4.0
1647,,1360.2722,,,,,,,,,,,,,
1648,,1360.2714,,,,,,,,,,,,,
1649,,1360.2709,,,,,,,,,,,,,
1650,,1360.2706,,,,,,,,,,,1.0,4.0,4.0
1651,,1360.275,,,,,,,,,,,,,
1652,,1360.2905,,,,,,,,,,,,,
1653,,1360.4116,,,,,,,,,,,,,
1654,,1360.3536,,,,,,,,,,,,,
1655,,1360.2788,,,,,,,,,,,,,
1656,,1360.275,,,,,,,,,,,,,
1657,,1360.2743,,,,,,,,,,,,,
1658,,1360.274,,,,,,,,,,,,,
1659,,1360.274,,,,,,,,,,,2.0,7.0,3.5
1660,,1360.2931,,,,,,,,,,,3.0,14.0,4.666666666666667
1661,,1360.3974,,,,,,,,,,,,,
1662,,1360.2837,,,,,,,,,,,,,
1663,,1360.2744,,,,,,,,,,,1.0,5.0,5.0
1664,,1360.274,,,,,,,,,,,2.0,2.0,1.0
1665,,1360.274,,,,,,,,,,,,,
1666,,1360.274,,,,,,,,,,,,,
1667,,1360.274,,,,,,,,,,,,,
1668,,1360.274,,,,,,,,,,,,,
1669,,1360.274,,,,,,,,,,,2.0,6.0,3.0
