,index,movieId,Mean_rating,Total_ratings,title,startYear,IMDBRating,IMBDVotes,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,language_en,language_es,language_fr,Adult_0,region_FR,region_US
0,0,1,3.9209302325581397,215,Toy Story (1995),1995.0,8.3,876688,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,2,3.4318181818181817,110,Jumanji (1995),1995.0,7.0,304029,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2,2,3,3.2596153846153846,52,Grumpier Old Men (1995),1995.0,6.7,23996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
3,3,4,2.357142857142857,7,Waiting to Exhale (1995),1995.0,5.9,9454,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
4,4,5,3.0714285714285716,49,Father of the Bride Part II (1995),1995.0,6.1,34156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
5,5,6,3.946078431372549,102,Heat (1995),1995.0,8.2,569951,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
6,6,7,3.185185185185185,54,Sabrina (1995),1995.0,6.3,36421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
7,7,8,2.875,8,Tom and Huck (1995),1995.0,5.5,9833,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
8,8,9,3.125,16,Sudden Death (1995),1995.0,5.8,31987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
9,9,10,3.496212121212121,132,GoldenEye (1995),1995.0,7.2,236943,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
10,10,11,3.6714285714285713,140,"American President, The (1995)",1995.0,6.8,51765,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
11,11,12,2.4210526315789473,19,Dracula: Dead and Loving It (1995),1995.0,5.9,38702,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
